x[pos,h]
x[33,1] = 0.04342040907150896
x[14,2] = 0.43859649122807015
x[25,2] = 0.020856833441628697
x[42,2] = 0.21138448110398628
x[48,2] = 0.3291621942263149
x[13,3] = 0.5495495495495496
x[33,3] = 0.21507651380831277
x[47,3] = 0.23537393664213763
x[7,4] = 0.2971014492753623
x[25,4] = 0.611836822329576
x[39,4] = 0.09106172839506166
x[34,5] = 0.4405940594059406
x[46,5] = 0.35811382072537556
x[33,6] = 0.14176641186312944
x[42,6] = 0.03674691691796059
x[48,6] = 0.011666007570193815
x[35,7] = 0.5256410256410258
x[46,7] = 0.13460635184449166
x[47,7] = 0.33975262251448257
x[20,8] = 0.712
x[39,8] = 0.28800000000000003
y[pos,r]
y[20,1] = 1.0
y[47,2] = 1.0
y[14,3] = 1.0
y[46,4] = 1.0
y[7,5] = 1.0
y[39,6] = 1.0
y[13,7] = 1.0
y[25,8] = 1.0
y[33,9] = 0.5
y[48,9] = 0.5
y[35,10] = 0.5
y[48,10] = 0.5
y[33,11] = 0.5
y[42,11] = 0.5
y[34,12] = 0.5
y[35,12] = 0.5
z[u]
z[(1, 1)] = 1.0
z[(4, 1)] = 1.0
z[(5, 1)] = 1.0
z[(6, 1)] = 1.0
z[(8, 1)] = 1.0
z[(9, 1)] = 1.0
z[(1, 2)] = 1.0
z[(4, 2)] = 1.0
z[(5, 2)] = 1.0
z[(6, 2)] = 1.0
z[(8, 2)] = 1.0
z[(9, 2)] = 1.0
z[(1, 3)] = 1.0
z[(4, 3)] = 1.0
z[(5, 3)] = 1.0
z[(6, 3)] = 1.0
z[(8, 3)] = 1.0
z[(9, 3)] = 1.0
z[(1, 4)] = 1.0
z[(4, 4)] = 1.0
z[(5, 4)] = 1.0
z[(6, 4)] = 1.0
z[(8, 4)] = 1.0
z[(9, 4)] = 1.0
z[(1, 5)] = 1.0
z[(4, 5)] = 1.0
z[(5, 5)] = 1.0
z[(6, 5)] = 1.0
z[(8, 5)] = 1.0
z[(9, 5)] = 1.0
